,Issue No,Issue Date,Gazette Number,Category,Department,URL,Deleted,Archived URL,Archived Date
317,53,2023-02-06,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--Acquisition of Lands--Notice Under Section 3(1) of Tamil Nadu Acquisition of Land for Industrial Purposes Act,1997",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/53_Ex_VI_1.pdf,False,https://web.archive.org/web/20230401003223/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/53_Ex_VI_1.pdf,2023-04-01 00:32:23
318,52,2023-02-06,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments.,"PUBLIC DEPARTMENT - (Military) - Notification under the Manoeuvres, Field Firing and Artillery Practice Act.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/52_Ex_II_1_2023.pdf,False,https://web.archive.org/web/20230401003224/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/52_Ex_II_1_2023.pdf,2023-04-01 00:32:24
319,51,2023-02-03,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/51_Ex_VI_1_2023.pdf,True,,
320,50,2023-02-03,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/50_Ex_VI_1_2023.pdf,True,,
321,49,2023-02-03,Part V--Section 4,Notification by the Election Commission of India,NOTIFICATION BY THE ELECTION COMMISSION OF INDIA -Amendment to the List of Returning officer for the Assembly Constituency in The State of Tamil Nadu,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/49_Ex_V_4_2023.pdf,False,https://web.archive.org/web/20230401003302/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/49_Ex_V_4_2023.pdf,2023-04-01 00:33:02
322,48,2023-02-02,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc","CONSTITUTION OF A SUB COURT AT MUSIRI IN TIRUCHIRAPPALLI DISTRICT OF THE TAMIL NADU CIVIL COURTS ACT, 1873.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/48_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003302/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/48_Ex_VI_1_2023.pdf,2023-04-01 00:33:02
323,47,2023-02-02,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments.,FINANCE DEPARTMENT - Market Borrowing programme of State Government by Auction,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/47_Ex_II_1_2023.pdf,False,https://web.archive.org/web/20230401003312/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/47_Ex_II_1_2023.pdf,2023-04-01 00:33:12
324,46,2023-01-31,Part II—Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments,HOME DEPARTMENT - (Courts- III) - Constitution of a Subordinate Judge’s Court at Musiri in Tiruchirappalli District under the Tamil Nadu Civil Courts Act.,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/46_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003316/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/46_Ex_II_2_2023.pdf,2023-04-01 00:33:16
325,45,2023-01-31,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,LAW DEPARTMENT-- List of Notaries by Government of Tamil Nadu and in Practice at the beginning of the year 2023.,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/45_Ex_II_2_2023.pdf,False,,
326,44,2023-01-31,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"BACKWARD CLASSES, MOST BACKWARD CLASSES AND MINORITIES WELFARE DEPARTMENT - Appointment of Election Authority and Returning Officer of the Tamil Nadu Waqf Board (Conduct of Election For Members) Rules, 1997 under the Waqf Act.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/44_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003303/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/44_Ex_II_2_2023.pdf,2023-04-01 00:33:03
327,43,2023-01-31,Par II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments,HOME DEPARTMENT--[Election – Bye Elections To TNLA From 98.Erode (East) Assembly Constituency To Be Held On 27.02.2023 Election Related Duties – Exercise Of Supervisory / Disciplinary Control – Designating Police Officers -Notification Published.,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/43_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003302/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/43_Ex_II_2_2023.pdf,2023-04-01 00:33:02
328,42,2023-01-31,Part V—Section 4,Notification by the Election Commission of India,Appointment of dates for various stages of Bye-Election to Tamil Nadu Legislative Assembly from 98. Erode (East) Assembly Constituency and fixation of hours of poll to fill a vacancy caused by the death of a member,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/42_Ex_V_4_2023.pdf,False,https://web.archive.org/web/20230401003303/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/42_Ex_V_4_2023.pdf,2023-04-01 00:33:03
329,41,2023-01-30,Part II—Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments,PUBLIC DEPARTMENT - (Law Officers) - Census 2021 - Extension of Date of Freezing of Boundaries of Administrative Units and Ban on Formation of New Units upto 30th June 2023 During Period of Census Operations - Orders - Issued.,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/41_Ex_II_2_2023.pdf,True,,
330,40,2023-01-30,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments,SOCIAL WELFARE AND WOMEN EMPOWERMENT DEPARTMENT - Reconstitution of Juvenile Justice Board Constituted In Thoothukudi and Tirunelveli Districts by Appointing Pricipal Magistrate and two Members in the State of Tamil Nadu,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/40_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003304/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/40_Ex_II_2_2023.pdf,2023-04-01 00:33:04
331,39,2023-01-27,Part II—Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,AGRICULTURE AND FARMERS WELFARE DEPARTMENT - Implementation of Price Support Scheme (PSS) for Procurement of Black Gram in Tamil Nadu,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/39_Ex_II_1_2023.pdf,True,,
332,38,2023-01-27,Part II—Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,AGRICULTURE AND FARMERS WELFARE DEPARTMENT - Implementation of Price Support Scheme (PSS) for Procurement of Green Gram in Tamil Nadu,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/38_Ex_II_1_2023.pdf,True,,
333,37,2023-01-25,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,FINANCE DEPARTMENT - Market Borrowing Programme of State Government by Auction,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/37_Ex_II_1_2023.pdf,False,https://web.archive.org/web/20230401003410/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/37_Ex_II_1_2023.pdf,2023-04-01 00:34:10
334,36,2023-01-25,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,"SOCIAL WELFARE AND WOMEN EMPOWERMENT DEPARTMENT - Notification of Mandatory use of Aadhaar Number for Beneficiaries under Chief Minister's Girl Child Protection Scheme, under Section 7 of the Aadhaar",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/36_Ex_II_1_2023.pdf,False,https://web.archive.org/web/20230401003411/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/36_Ex_II_1_2023.pdf,2023-04-01 00:34:11
335,35,2023-01-25,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/35_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003411/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/35_Ex_VI_1_2023.pdf,2023-04-01 00:34:11
336,34,2023-01-24,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,LABOUR WELFARE AND SKILL DEVELOPMENT DEPARTMENT - Nomination of Chairman and Members to the Tamil Nadu Fire and Match Worker's Welfare Board,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/34_Ex_II_2_2023,True,,
337,33,2023-01-24,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"HIGHER EDUCATION DEPARTMENT - Appointment as Vice-Chancellor of the Tamil Nadu Open University, Chennai for A certain Period under the Tamil Nadu Open University Act, 2002.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/33_Ex_II_2_2023,True,,
338,32,2023-01-24,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"HIGHER EDUCATION DEPARTMENT - Appointment As The Vice-Chancellor of the Mother Teresa Women’s University, Kodaikanal for certain Period under the Mother Teresa Women’s University Act, 1984",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/32_Ex_II_2_2023,True,,
339,31,2023-01-24,Part III--Section 1a,"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments","FINANCE DEPARTMENT - (Salaries) - Amendment to the Tamil Nadu Transparency in Tenders Rules, 2000.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/31_Ex_III_1a_2023.pdf,False,https://web.archive.org/web/20230401003413/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/31_Ex_III_1a_2023.pdf,2023-04-01 00:34:13
340,30,2023-01-23,Part V--Section 4,Notifications by the Election Commission of India,NOTIFICATIONS BY THE ELECTION COMMISSION OF INDIA - Issue of Postal Ballot to Electors above the Age of 80 Years and Electors with Physical Disability,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/30_Ex_V_4_2023,True,,
341,29,2023-01-23,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"HIGHWAYS AND MINOR PORTS DEPARTMENT - Levy of Tolls on the Motor Vehicles Entering Dindigul-Kodaikanal Road, Palani-Kodaikanal Road and Cochin-Kodaikanal Road at Silver Cascade etc, in Kodaikanal Area in Dindigul District certain Period under Tolls Act.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/29_Ex_II_2_2023,True,,
342,28,2023-01-23,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/28_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003415/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/28_Ex_VI_1_2023.pdf,2023-04-01 00:34:15
343,27,2023-01-20,Part III--Section 1a,"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments","FINANCE DEPARTMENT - (Salaries) - Amendments to the Tamil Nadu Transparency in Tenders Rules, 2000",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/27_Ex_III_1a_2023.pdf,False,https://web.archive.org/web/20230401003415/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/27_Ex_III_1a_2023.pdf,2023-04-01 00:34:15
344,26,2023-01-19,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"COMMERCIAL TAXES AND REGISTRATION DEPARTMENT - Notifications under the Tamil Nadu Goods and Services Tax Act, 2017 - Amendments to Notification.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/26_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003542/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/26_Ex_II_2_2023.pdf,2023-04-01 00:35:42
345,25,2023-01-19,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,FINANCE DEPARTMENT - Market Borrowing Programme of State Government by Auction,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/25_Ex_II_1_2023,True,,
346,24,2023-01-18,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,AGRICULTURE AND FARMERS WELFARE DEPARTMENT - Implementation of Price Support Scheme (PSS) Procurement of Copra in Tamil Nadu,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/24_Ex_II_1_2023.pdf,False,https://web.archive.org/web/20230401003420/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/24_Ex_II_1_2023.pdf,2023-04-01 00:34:20
347,23,2023-01-18,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/23_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003622/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/23_Ex_VI_1_2023.pdf,2023-04-01 00:36:22
348,22,2023-01-13,Part III--Section 1a,"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments","SCHOOL EDUCATION DEPARTMENT - Tamil Nadu Private Schools (Regulation) Rules, 2023.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/22_Ex_III_1a_2023.pdf,False,https://web.archive.org/web/20230401003633/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/22_Ex_III_1a_2023.pdf,2023-04-01 00:36:33
349,21,2023-01-13,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"SCHOOL EDUCATION DEPARTMENT - Date of Coming into Force of the Tamil Nadu Private Schools (Regulation) Act, 2018 (Tamil Nadu Act 35 of 2019)",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/21_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003642/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/21_Ex_II_2_2023.pdf,2023-04-01 00:36:42
350,20,2023-01-13,Part IV--Section 1,Tamil Nadu Bills,"L.A Bill No. 4 of 2023 - The Tamil Nadu Government Servants (Conditions of Service) Amendment Act, 2023 (English)",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/20_Ex_IV_1_E_2023.pdf,False,https://web.archive.org/web/20230401003542/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/20_Ex_IV_1_E_2023.pdf,2023-04-01 00:35:42
351,20,2023-01-13,Part IV--Section 1,Tamil Nadu Bills,"L.A Bill No. 4 of 2023 - The Tamil Nadu Government Servants (Conditions of Service) Amendment Act, 2023 (Tamil)",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/20A_Ex_IV_1_T_2023.pdf,False,https://web.archive.org/web/20230401003542/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/20A_Ex_IV_1_T_2023.pdf,2023-04-01 00:35:42
352,19,2023-01-13,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"HOME DEPARTMENT - (Transport-I) - Tamil Nadu Electric Vehicles Policy, 2019 100% Exemption of Motor Vehicle Tax in Respect of all Battery Operated Vehicles (Electric Vehicles) under the Tamil Nadu Motor Vehicles Taxation Act, 1974.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/19_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003542/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/19_Ex_II_2_2023.pdf,2023-04-01 00:35:42
353,18,2023-01-13,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/18_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003547/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/18_Ex_VI_1_2023.pdf,2023-04-01 00:35:47
354,17,2023-01-12,Part IV--Section 1,Tamil Nadu Bills,BILLS - No. 1 of 2023 to No. 3 of 2023 (English),http://www.stationeryprinting.tn.gov.in/extraordinary/2023/17_Ex_IV_1_E_2023.pdf,False,https://web.archive.org/web/20230401003548/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/17_Ex_IV_1_E_2023.pdf,2023-04-01 00:35:48
355,17,2023-01-12,Part IV--Section 1,Tamil Nadu Bills,BILLS - No. 1 of 2023 to No. 3 of 2023 (Tamil),http://www.stationeryprinting.tn.gov.in/extraordinary/2023/17A_Ex_IV_1_T_2023.pdf,False,https://web.archive.org/web/20230401003545/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/17A_Ex_IV_1_T_2023.pdf,2023-04-01 00:35:45
356,16,2023-01-11,Part IV--Section 2,Tamil Nadu Acts and Ordinances,ACTS - No. 1 of 2023 and 2 of 2023,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/16_Ex_IV_2_2023.pdf,False,https://web.archive.org/web/20230401003544/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/16_Ex_IV_2_2023.pdf,2023-04-01 00:35:44
357,15,2023-01-10,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,WATER RESOURCES DEPARTMENT - Acquisition of Lands,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/15_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003647/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/15_Ex_II_2_2023.pdf,2023-04-01 00:36:47
358,14,2023-01-10,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments,TRANSPORT DEPARTMENT--WITHDRAWAL FROM ACQUISITION OF LANDS,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/14_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003726/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/14_Ex_II_2_2023.pdf,2023-04-01 00:37:26
359,13,2023-01-10,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/13_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003737/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/13_Ex_VI_1_2023.pdf,2023-04-01 00:37:37
360,12,2023-01-09,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005 -- ACQUISITION OF LANDS",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/12_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003728/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/12_Ex_VI_1_2023.pdf,2023-04-01 00:37:28
361,11,2023-01-07,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,"DEMISE OF HONOURABLE THIRU E. THIRUMAHAN EVERAA, MEMBER OF THE TAMIL NADU LEGISLATIVE ASSEMBLY",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/11_Ex_II_1_2023.pdf,False,https://web.archive.org/web/20230401003726/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/11_Ex_II_1_2023.pdf,2023-04-01 00:37:26
362,10,2023-01-06,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"ENERGY DEPARTMENT--Appointment of Member (Legal) in the Tamil Nadu Electricity Regulatory Commission under the Electricity Act, 2003.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/10_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003728/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/10_Ex_II_2_2023.pdf,2023-04-01 00:37:28
363,9,2023-01-06,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/9_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003729/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/9_Ex_VI_1_2023.pdf,2023-04-01 00:37:29
364,8,2023-01-05,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,MARKET BORROWING PROGRAMME OF STATE GOVERNMENT BY AUCTION,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/8_Ex_II_1_2023.pdf,False,https://web.archive.org/web/20230401003712/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/8_Ex_II_1_2023.pdf,2023-04-01 00:37:12
365,7,2023-01-04,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"ANIMAL HUSBANDRY, DAIRYING, FISHERIES AND FISHERMEN WELFARE DEPARTMENT -Place and date for conducting jallikattu under clause (dd) of section 2 of the prevention of cruelty to animals act, 1960 as amended by the prevention of cruelty to animals",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/7_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003729/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/7_Ex_II_2_2023.pdf,2023-04-01 00:37:29
366,6,2023-01-04,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,HEALTH AND FAMILY WELFARE DEPARTMENT--Medical Education – Appointment of Vice Chancellor for the Tamil Nadu Dr. M.G.R. Medical University – Constitution of Search Committee as per section 10 (1) of the Tamil Nadu Dr. M.G.R. Medical University….,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/6_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003710/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/6_Ex_II_2_2023.pdf,2023-04-01 00:37:10
367,5,2023-01-04,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"HEALTH AND FAMILY WELFARE DEPARTMENT--Prescription of Educational Qualification and Experience for the post of Vice-Chancellor in the Tamil Nadu Dr.M.G.R Medical University under the Tamil Nadu Dr. M.G.R Medical University, Chennai (Amendment) Act, 2018.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/5_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003647/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/5_Ex_II_2_2023.pdf,2023-04-01 00:36:47
368,4,2023-01-03,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"SOCIAL WELFARE AND WOMEN EMPOWERMENT DEPARTMENT--Reconstitution of Juvenile Justice Board in certain districts under the Juvenile Justice (Care and Protection of Children) Act, 2015 [Central Act 2 of 2016] and …",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/4_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003730/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/4_Ex_II_2_2023.pdf,2023-04-01 00:37:30
369,3,2023-01-03,Part VI-Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/3_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003717/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/3_Ex_VI_1_2023.pdf,2023-04-01 00:37:17
370,2,2023-01-03,Part VI-Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/2_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003641/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/2_Ex_VI_1_2023.pdf,2023-04-01 00:36:41
371,1,2023-01-02,Part III--Section 1a,"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments.","HOUSING AND URBAN DEVELOPMENT DEPARTMENT--Amendments to the Tamil Nadu Combined Development and Building Rules, 2019.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/1_Ex_III_1a_2023.pdf,False,https://web.archive.org/web/20230401003720/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/1_Ex_III_1a_2023.pdf,2023-04-01 00:37:20
